Dataset,Pred,Obs,BI,Brit,Euro,BrdT
1,11.7,10,0,1,0,ABT
1,12.4,11,0,1,0,ABT
1,6.1,7,0,1,0,ABT
1,5.7,6,0,1,0,ABT
1,8.8,10,0,1,0,ABT
1,8.7,8,0,1,0,ABT
1,9.6,10,0,1,0,ABT
1,10,13,0,1,0,ABT
1,10.3,9,0,1,0,ABT
1,9.3,12,0,1,0,ABT
1,10.5,11,0,1,0,ABT
1,12.9,12,0,1,0,ABT
1,12.6,12,0,1,0,ABT
1,12.5,14,0,1,0,ABT
1,4.7,6,0,1,0,ABT
1,12.2,10,0,1,0,ABT
1,10.6,6,0,1,0,ABT
1,10.1,10,0,1,0,ABT
1,7.9,6,0,1,0,ABT
1,11.1,7,0,1,0,ABT
1,12.6,16,0,1,0,ABT
1,9.5,11,0,1,0,ABT
1,10.1,11,0,1,0,ABT
1,9.6,9,0,1,0,ABT
1,9.9,8,0,1,0,ABT
1,9.8,12,0,1,0,ABT
1,10.2,8,0,1,0,ABT
1,13.4,14,0,1,0,ABT
1,8.8,8,0,1,0,ABT
1,8.9,12,0,1,0,ABT
1,11.5,8,0,1,0,ABT
1,11.7,8,0,1,0,ABT
1,9.7,9,0,1,0,ABT
1,9.3,11,0,1,0,ABT
1,7.9,9,0,1,0,ABT
1,10.5,13,0,1,0,ABT
1,11.5,11,0,1,0,ABT
1,11.4,10,0,1,0,ABT
1,10.7,10,0,1,0,ABT
1,9.8,11,0,1,0,ABT
1,7.3,8,0,1,0,ABT
1,10.4,10,0,1,0,ABT
1,9.5,11,0,1,0,ABT
1,8.4,8,0,1,0,ABT
1,8.8,8,0,1,0,ABT
1,11,15,0,1,0,ABT
1,8.2,8,0,1,0,ABT
1,10.1,11,0,1,0,ABT
1,7.6,10,0,1,0,ABT
1,9.8,11,0,1,0,ABT
1,9.2,11,0,1,0,ABT
1,10.7,11,0,1,0,ABT
1,7.9,8,0,1,0,ABT
1,8.3,8,0,1,0,ABT
1,11.9,12,0,1,0,ABT
1,13,14,0,1,0,ABT
1,9.2,11,0,1,0,ABT
1,12.8,10,0,1,0,ABT
1,9.5,9,0,1,0,ABT
1,9.8,9,0,1,0,ABT
1,6.7,9,0,1,0,ABT
1,8,8,0,1,0,ABT
1,8.2,6,0,1,0,ABT
1,12.5,12,0,1,0,ABT
1,7.4,6,0,1,0,ABT
1,9.4,9,0,1,0,ABT
1,8.8,11,0,1,0,ABT
1,8.3,6,0,1,0,ABT
1,8.2,8,0,1,0,ABT
1,7.7,8,0,1,0,ABT
1,7.6,10,0,1,0,ABT
1,10.9,11,0,1,0,ABT
1,8.1,8,0,1,0,ABT
1,6.7,8,0,1,0,ABT
1,11.9,11,0,1,0,ABT
1,9.1,9,0,1,0,ABT
1,9.2,8,0,1,0,ABT
1,8.1,8,0,1,0,ABT
1,7.4,9,0,1,0,ABT
1,6.9,7,0,1,0,ABT
2,11.9,10,0,1,0,ABT
2,15.4,11,0,1,0,ABT
2,9.1,7,0,1,0,ABT
2,8.7,6,0,1,0,ABT
2,11.8,10,0,1,0,ABT
2,11.7,8,0,1,0,ABT
2,12.6,10,0,1,0,ABT
2,13,13,0,1,0,ABT
2,13.3,9,0,1,0,ABT
2,12.3,12,0,1,0,ABT
2,13.5,11,0,1,0,ABT
2,15.9,12,0,1,0,ABT
2,15.6,12,0,1,0,ABT
2,15.5,14,0,1,0,ABT
2,7.7,6,0,1,0,ABT
2,15.2,10,0,1,0,ABT
2,13.6,6,0,1,0,ABT
